runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100000,c_18146_b_78479_d_27,1105,1,1,t_898197_b_78479_tn_0,815405,t_898197_b_78479_tn_0,2562322
1000000,c_18146_b_78479_d_31,109,10,1,t_2081606_b_78479_tn_0,2562331,t_2081608_b_78479_tn_0,2562322
10000000,c_69253_b_80213_d_31,1002,100,1,t_5566383_b_80213_tn_0,805974,t_5566381_b_80213_tn_0,805918
10100000,c_69253_b_80213_d_31,1003,101,1,t_5566443_b_80213_tn_0,805974,t_5566445_b_80213_tn_0,805974
10200000,c_69253_b_80213_d_31,101,102,1,t_5566725_b_80213_tn_0,2562338,t_5566251_b_80213_tn_0,2562322
10300000,c_69253_b_80213_d_31,102,103,1,t_5566270_b_80213_tn_0,2562322,t_5567169_b_80213_tn_0,2562331
10400000,c_69253_b_80213_d_31,103,104,1,t_5566277_b_80213_tn_0,2562331,t_5567269_b_80213_tn_0,2562331
10500000,c_69253_b_80213_d_31,104,105,1,t_5567252_b_80213_tn_0,805595,t_5566285_b_80213_tn_0,2562322
10600000,c_69253_b_80213_d_31,105,106,1,t_5566281_b_80213_tn_0,2562322,t_5567140_b_80213_tn_0,2562322
10700000,c_69253_b_80213_d_31,106,107,1,t_5567263_b_80213_tn_0,2562322,t_5567259_b_80213_tn_0,2562322
10800000,c_69253_b_80213_d_31,107,108,1,t_5567303_b_80213_tn_0,2562322,t_5567260_b_80213_tn_0,2562322
10900000,c_69253_b_80213_d_31,108,109,1,t_5566298_b_80213_tn_0,2562322,t_5566297_b_80213_tn_0,2562322
1100000,c_18146_b_78479_d_31,2101,11,1,t_898397_b_78479_tn_0,805734,t_898397_b_78479_tn_0,2562331
11000000,c_69253_b_80213_d_31,109,110,1,t_5567132_b_80213_tn_0,2562322,t_5566299_b_80213_tn_0,805734
11100000,c_69253_b_80213_d_31,110,111,1,t_5566307_b_80213_tn_0,2562322,t_5567146_b_80213_tn_0,2562322
11200000,c_69253_b_80213_d_31,1101,112,1,t_5567213_b_80213_tn_0,2562331,t_5566746_b_80213_tn_0,2562331
11300000,c_69253_b_80213_d_31,1102,113,1,t_5566506_b_80213_tn_0,2562322,t_5566513_b_80213_tn_0,2562322
11400000,c_69253_b_80213_d_31,1103,114,1,t_5566535_b_80213_tn_0,2562322,t_5566534_b_80213_tn_0,2562331
11500000,c_69253_b_80213_d_31,1104,115,1,t_5566430_b_80213_tn_0,2562322,t_5567293_b_80213_tn_0,805734
