stop_id,stop_city
2324951,Berlin
806216,Montpelier
2574428,Stowe
805719,Burlington
806436,Stowe
805512,South Burlington
805576,Shelburne
805503,South Burlington
806199,Saint Albans
806250,Montpelier
805847,Essex Junction
805660,Burlington
806242,Barre
805949,Burlington
805810,Colchester
3461716,Burlington
806153,Essex Junction
805684,Burlington
806475,Waitsfield
805930,Burlington
806467,Warren
805753,Burlington
806507,Northfield
806406,Saint Albans
805687,Burlington
806205,Waterbury
806335,East Montpelier
2574427,Stowe
805835,Essex Junction
805562,Shelburne
2574443,Stowe
806308,Montpelier
805801,Essex Junction
806421,Stowe
2324953,Stowe
806290,Montpelier
806182,Burlington
805613,Burlington
805887,Essex Junction
808990,Barre
806157,Jeffersonville
806238,Barre
806061,Burlington
805936,Burlington
805572,Shelburne
805730,Burlington
806392,Saint Albans
805829,Burlington
805539,Burlington
806165,Colchester
806224,Montpelier
805705,Burlington
806303,Williamstown
805549,Burlington
805588,South Burlington
805485,Burlington
806124,Milton
805841,Essex Junction
805996,Williston
806307,Montpelier
806016,Burlington
805581,Shelburne
805643,Burlington
806067,Winooski
805675,Burlington
806075,South Burlington
805851,Essex Junction
806218,Montpelier
805688,Burlington
806121,Milton
805711,Burlington
806249,Montpelier
805723,Burlington
805933,Burlington
849122,Burlington
815404,Burlington
806253,Montpelier
806029,Burlington
805592,South Burlington
805946,South Burlington
808190,Shelburne
805895,Williston
806409,Swanton
806258,Montpelier
805565,Shelburne
806294,Barre
805779,Essex Junction
805808,Colchester
805733,Burlington
806287,Waterbury
805824,Burlington
806431,Stowe
805853,Essex Junction
805831,Essex Junction
806164,Colchester
805712,Burlington
806071,Burlington
806401,Saint Albans
2578114,Barre City
805792,Essex Junction
805716,Burlington
805763,Winooski
824588,Hinesburg
805495,South Burlington
805741,Burlington
806202,Middlesex
805560,Shelburne
806070,Essex Junction
806276,Barre
806233,Barre
806456,Waitsfield
805493,South Burlington
805819,Winooski
805561,Shelburne
805532,Burlington
805551,South Burlington
806373,Swanton
2574426,Stowe
806438,Stowe
806072,Burlington
805860,Essex Junction
806403,Saint Albans
805669,Burlington
806483,Warren
806053,Fairfax
806222,Montpelier
806326,Montpelier
805905,Burlington
815362,Burlington
806412,Saint Albans
806468,Warren
806274,Barre
805840,Essex Junction
805811,Colchester
805802,Essex Junction
805775,Colchester
805559,Shelburne
805986,Winooski
806512,Northfield
805750,Burlington
805918,Burlington
805612,Burlington
806488,Montpelier
806295,Montpelier
806395,Saint Albans
805516,South Burlington
805864,Essex Junction
805575,Shelburne
806100,Williston
806150,Winooski
806189,Saint Albans
806291,Barre
806353,Montpelier
806516,Warren
2574434,Stowe
2456439,South Burlington
806297,Barre
805507,South Burlington
805738,Burlington
806503,Stowe
805876,Burlington
806096,Williston
806000,Burlington
805631,Winooski
806382,Enosburg Falls
806045,Williston
805943,South Burlington
805664,Burlington
805904,Williston
806036,Williston
805732,Burlington
805623,Winooski
805513,South Burlington
806077,South Burlington
3447219,Berlin
806193,Saint Albans
805710,Burlington
847926,Milton
805886,Essex Junction
805917,Essex Junction
805975,South Burlington
806161,Essex Junction
2574484,Fayston
805571,Shelburne
806473,Waitsfield
2556012,Essex
806151,Winooski
805823,Burlington
808987,Saint Albans
805683,Burlington
806270,Barre
806498,Morrisville
805938,Burlington
2574442,Stowe
805563,Shelburne
806017,Burlington
806289,Waterbury
806030,Burlington
805852,Essex Junction
805798,Essex Junction
805528,South Burlington
806252,Montpelier
805708,Burlington
805929,Burlington
805758,Burlington
806187,Saint Albans
806033,South Burlington
805820,Burlington
805720,Burlington
805992,Burlington
806115,South Burlington
805508,South Burlington
805722,Burlington
806283,Barre
806364,Swanton
805868,South Burlington
805586,Shelburne
805948,South Burlington
806380,Sheldon Springs
805608,Burlington
805785,Essex Junction
806186,Saint Albans
805850,Essex Junction
805809,Colchester
806482,Warren
2562338,Burlington
806005,Burlington
806434,Stowe
806429,Stowe
806459,Waitsfield
806496,Stowe
805839,Essex Junction
806086,Williston
805679,Burlington
805878,Burlington
812018,South Burlington
805506,South Burlington
806513,Northfield
806365,Swanton
806160,Essex Junction
805954,Burlington
806432,Stowe
