trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1229708_b_27086_tn_0,10:45:00,10:45:00,806390,1,,0,0,0,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,10:47:00,10:47:00,806400,2,,0,0,867.024165762519,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,10:49:00,10:49:00,806388,3,,0,0,1996.21070596057,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,,,806408,4,,2,3,4135.54027816866,0,,,1207,1207,2,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,10:54:00,10:54:00,806403,5,,0,0,6347.26298109016,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,11:00:00,11:00:00,806397,6,,0,0,7201.856943363,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,11:03:00,11:03:00,806385,7,,0,0,8482.9641692497,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,11:04:00,11:04:00,806402,8,,0,0,8853.44409095992,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,11:12:00,11:12:00,806392,9,,0,0,12068.0586980171,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,11:16:00,11:16:00,807736,10,,0,0,13488.8994056782,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,11:21:00,11:21:00,806398,11,,0,0,15259.2767481763,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229708_b_27086_tn_0,11:26:00,11:26:00,806389,12,,0,0,18147.56895753,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229709_b_27086_tn_0,12:45:00,12:45:00,806390,1,,0,0,0,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229709_b_27086_tn_0,12:47:00,12:47:00,806400,2,,0,0,867.024165762519,1,,,1207,1207,3,3,,,,,,,,,,,
t_1229709_b_27086_tn_0,12:49:00,12:49:00,806388,3,,0,0,1996.21070596057,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229709_b_27086_tn_0,,,806408,4,,2,3,4135.54027816866,0,,,1207,1207,2,3,,,,,,,,,,,
t_1229709_b_27086_tn_0,12:54:00,12:54:00,806403,5,,0,0,6347.26298109016,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229709_b_27086_tn_0,13:00:00,13:00:00,806397,6,,0,0,7201.856943363,1,,,1207,1207,2,3,,,,,,,,,,,
t_1229709_b_27086_tn_0,13:03:00,13:03:00,806385,7,,0,0,8482.9641692497,1,,,1207,1207,3,3,,,,,,,,,,,
