from_stop_id,to_stop_id,transfer_type,min_transfer_time
2562322,2562322,1,
2562322,2562331,1,
2562322,2562335,1,
2562322,2562336,1,
2562322,2562338,1,
2562322,2562340,1,
2562322,2562345,1,
2562322,2562347,1,
2562322,2562351,1,
2562331,2562322,1,
2562331,2562331,1,
2562331,2562335,1,
2562331,2562336,1,
2562331,2562338,1,
2562331,2562340,1,
2562331,2562345,1,
2562331,2562347,1,
2562331,2562351,1,
2562335,2562322,1,
2562335,2562331,1,
2562335,2562335,1,
2562335,2562336,1,
2562335,2562338,1,
2562335,2562340,1,
2562335,2562345,1,
2562335,2562347,1,
2562336,2562322,1,
2562336,2562331,1,
2562336,2562335,1,
2562336,2562336,1,
2562336,2562338,1,
2562336,2562340,1,
2562336,2562345,1,
2562336,2562347,1,
2562336,2562351,1,
2562338,2562322,1,
2562338,2562331,1,
2562338,2562335,1,
2562338,2562336,1,
2562338,2562338,1,
2562338,2562340,1,
2562338,2562345,1,
2562338,2562347,1,
2562338,2562351,1,
2562340,2562322,1,
2562340,2562331,1,
2562340,2562335,1,
2562340,2562336,1,
2562340,2562338,1,
2562340,2562345,1,
2562340,2562347,1,
2562340,2562351,1,
2562345,2562322,1,
2562345,2562331,1,
2562345,2562335,1,
2562345,2562336,1,
2562345,2562338,1,
2562345,2562340,1,
2562345,2562345,1,
2562345,2562347,1,
2562345,2562351,1,
2562347,2562322,1,
2562347,2562331,1,
2562347,2562335,1,
2562347,2562336,1,
2562347,2562338,1,
2562347,2562340,1,
2562347,2562345,1,
2562347,2562347,1,
2562347,2562351,1,
2562351,2562322,1,
2562351,2562331,1,
2562351,2562336,1,
2562351,2562338,1,
2562351,2562340,1,
2562351,2562345,1,
2562351,2562347,1,
2562351,2562351,1,
806018,806018,1,
806018,806255,1,
806255,806018,1,
806263,806263,1,
806264,806264,1,
806268,806268,1,
806433,806433,1,
